Filename	Vowel	Begin Time (s)	End Time (s)	Duration (ms)	IntMin	IntMinTime	IntMax	IntMaxTime	IntMean	F0 25%	F0 50%	F0 75%	F1 25%	F1 50%	F1 75%	F2 25%	F2 50%	F2 75%	F3 25%	F3 50%	F3 75%	Analyst	Date	Settings	Praat Version	OS
1401_sentences	22103	62.23408004161577	62.33161768233308	97.53764071731297	73.94052039358479	62.30353741496599	75.14432145476641	62.26353741496599	74.39227407180694	226.68254112831818	225.8466650174394	224.74699887408187	796.7395135045473	804.3889395982152	735.3086104203527	1338.4034091528663	1457.0910888670826	1572.3778067143799	2871.434169120503	2895.93748633335	2842.598337292678	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	11106	70.23825957205212	70.3045499791429	66.29040709078993	72.26654390289403	70.27384157437284	72.62108975900307	70.26353741496598	72.5399354456423	247.68280155686287	242.79480869316686	241.4506979322108	506.60492511822486	523.4321034777312	491.8522155459146	2166.6759002058443	2064.0223020330895	1942.8551186109798	2983.4865768456343	2921.929384864983	2880.3480384489653	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	11117	73.42332196164479	73.52446686284566	101.14490120086828	69.83328678552259	73.47823028380628	70.48134905254764	73.45353741496598	70.10685060882766	108.975758303551	107.86665476221887	115.21327787513214	801.6397562092363	811.7567093805494	783.9311458059952	1419.519633354143	1507.368043896068	1579.814930883068	2860.682814520076	2773.5387371847874	2734.666156229982	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	22207	76.38331902964676	76.54128824604838	157.9692164016251	72.68753377044835	76.46229931263926	73.77810435564902	76.42353741496598	72.9193682011228	231.87685600283342	231.03750405064417	234.42993319179843	501.2916642418635	487.7383395386959	479.7427080448326	1015.7031165430266	892.8231364368618	1267.2550388702718	3180.0353279810106	3270.0037940862226	3424.0348459954203	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	21104	82.5187993865031	82.67521714175982	156.41775525671164	73.59669880193643	82.63353741496599	75.30247487481809	82.56353741496598	74.19132348879961	212.51914001614085	204.2305139497961	210.84912841192826	437.1476447077624	470.30822384920674	511.94067886395374	2330.30474902857	2301.7067227300195	2334.7498161718563	3052.260486827495	3026.9840405263512	3002.36628770603	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	12219	84.86964013378493	84.95971915470734	90.07902092241693	67.8607645684498	84.93353741496598	71.6147813385917	84.89353741496599	69.7958869207026	216.85575329942006	218.6285423071495	222.73310276105138	769.4676078189277	824.27522144282	675.3994735812795	1285.552671117467	1230.615183770778	1310.8720710724588	2961.4888629546263	2962.3872894183314	3452.5287365535487	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	11120	90.00569173990472	90.2312482772199	225.55653731518532	69.45170425836363	90.17353741496598	70.07492538085611	90.06353741496598	69.77613580167915	214.39783847636627	212.13807741227066	212.8531774730476	934.8968680955163	1121.4475457166734	887.8719434986767	1383.2374989542	1261.412084228727	1298.9549422926025	2902.803200118836	3095.9846554256924	2883.2627564326995	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	11110	92.65454887788412	92.75827973971401	103.730861829888	71.3713558321384	92.7057672300621	72.22612028755613	92.68353741496598	71.67417169105715	230.42287696899484	235.85048749190798	248.51307894208117	462.52526055826075	478.77818396757107	491.2615564122929	2353.949731980851	2270.988157702192	2116.1011414330837	3028.94392871264	3050.56685728829	2875.424447723981	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	21111	95.2407882095297	95.433388095049	192.59988551930007	69.1792861596951	95.38353741496599	72.71931448279403	95.30950723246481	71.4556151110065	239.40550908724944	236.5648946283815	240.29610264154235	111.17437524701722	472.95430464253593	469.9100191755982	544.0850786436756	528.6656517953186	1643.2880278547623	3178.464972100251	3066.479316236499	3673.5221698757964	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	22211	99.08298063328029	99.29714795549698	214.16732221669577	66.45932894572064	99.17860193562565	69.85478276462982	99.24353741496599	67.30221741830728	217.31437741409943	221.11225852984293	236.96152918413995	805.442209645964	779.4755369098552	792.728255898588	1593.6076384978896	1491.56911114985	1610.108003398986	2900.148614587796	2855.0674120706417	2960.4236398562093	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	22107	103.92186249150855	104.08532796235207	163.46547084351926	66.15221878946505	103.97447718449187	66.81796089846688	104.04353741496598	66.42801938852976	218.65795151738678	216.638632814557	218.45754743809863	942.8278967339933	766.3636266853076	738.3634537583616	1511.3783522693077	1506.867853894613	1549.5291064552014	2341.584615564359	2862.5679096598847	2690.642724475966	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1401_sentences	21112	107.47880427486844	107.6802035846088	201.39930974036702	68.22246296064233	107.53353741496599	68.63949245093255	107.57991119196274	68.38010883973664	214.5279080042199	212.99912838240476	214.031469307579	810.1456113476702	867.8646344033879	772.8509153008299	1504.7886702771784	1487.4599864079814	1509.8429605246736	2725.946625653309	2805.6786489906917	2880.3808911270276	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
